2021-08-04 10:57:29.029 INFO  [6407159] [OramAccessController::OramAccessController@16] Warming up OramAccessController...
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 5 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 5
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 5
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 6 into cache
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 5 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 5
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 5 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 5
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 4 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 2 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::left_rotate@411] Doing left rotating
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 2 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 4 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::insert@286] Inserting 7
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 4
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 5 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 5
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 5
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 7 into cache
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 6 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 5 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 5
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 5 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 5
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::left_rotate@411] Doing left rotating
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 5 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 5
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 5 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 5
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 6 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 4 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::insert@286] Inserting 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 7 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 8 into cache
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 7 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 7 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 6 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 4 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::insert@286] Inserting 9
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 7 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 9 into cache
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 8 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 7 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 7 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::left_rotate@411] Doing left rotating
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 7 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 7 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 7
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 8 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 6 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 4 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::insert@286] Inserting 10
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 4 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 4
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 4
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 9 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 9
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 9
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 10 into cache
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 9 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 9
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 9 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 9
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 8 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 6 to the Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 6 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 6
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 8 from Oblivious Data Structure
2021-08-04 10:57:29.149 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 8
2021-08-04 10:57:29.149 INFO  [6407159] [*SEAL::Client::left_rotate@411] Doing left rotating
